id,comments,label,sentiment
28,"ürünün rengi görseldeki gibi. üstünüze tam olsun ve biraz rahat dursun istiyorsanız kendi bedeninizden bir beden küçük, biraz oversize dursun istiyorsanız kendi bedeninizi tercih edebilirsiniz. S beden M gibi duruyor. S bedeninin uzunluğu omuz hizasından itibaren yaklaşık 70 cm. kumaş olarak da yazın oldukça rahat ve serin tutacağını düşünüyorum.",,Positive
29,"çok kaliteli ,güzel kendi bedeninizi alabilirsiniz. Ben bir büyük beden almıştım çok fazla büyük durdu kol kısmından içim falan görünüyodu iade ettim kendi bedenimi aldım",,Positive
30,"Bildiğiniz erkek atletinin üzerine baskı yapılmış. Baskı görsellerdeki gibi değil, oldukça kötü. Kumaşı içini gösterecek kadar kötü. Etek ucu dikişleri, kol ağzı dikişleri yamuk. Denerken yakasına fondöten bulaştığı için iade de edemeyeceğim. Param boşa gitti.",,Negative
31,"İnanılmaz pratik bir ürün, daha önce neden almadım diye pişmanlık duydum. Paketleme ve kargo çok özenliydi, satıcıya teşekkür ederim. Yalnız alacaklara tavsiyem güncel fiyatı düzenli takip etsinler, güzel indirimler oluyor.",,Positive
32,elime sorunsuz ulaştı paketlemesi iyiydi satıcıya teşekkürler,,Positive
33,"Piyasadaki en uygun fiyata aldım, indirim kuponu ile birlikte 17.400₺ ye geldi. Ürün hasarsız fakat paketlemede ekstra koruyucu önlem alınmamıştı sadece 2 kutuyla paketlenmişti. Farklı renklerinin de satışa sunulmasını beklerdim ama uzay grisi aldım ve çok memnunum özetle, tavsiye ederim..",,Positive
34,cok güzel kardeşime hediye aldım çok mutlu oldu,,Positive
35,Paketleme gerçekten mükemmel şüphem vardı ama çok rahatladım hemen kargoya verdiler ürün gerçekten güzel çevirmenlik yapıyorum benim için hafifliği ve işlevi önemliydi gerçekten çok iyi,,Positive
36,Tek kelimeyle harika. Apple cidden kaliteyi müşterilerine hissettiriyor. Kargo çok iyi geldi. Sağlam geldi. Paketlemesi de iyiydi.,,Positive
37,"Alırken çok düşündüm sonuçta fiyatı yüksek bir ürün, Apple'ın kalitesini herkes biliyor bende bir kere daha emin oldum, bilgisayarı genelde ders çalışmak film izlemek müzik dinlemek ve takılmak için kullanıyorum benim tüm ihtiyaçlarımı karşılıyor o yüzden oyun çizim vs için nasıl olur bilemem yalnız denildiği kadar hızlı bir bilgisayar. ara yüzü ço",,Positive
38,hızlı geldi paketleme iyi bi puan fiyatından gitti lol,,Positive
39,kızıma aldım bayıldı hızlı pratik tavsiye ederim,,Positive
40,Ürünün paketlenmesi çok iyi yapılmış. Sağlıklı bir şekilde elime ulaştı. Teşekkürler.,,Positive
41,"Kargo sorunsuz geldi,paketleme özenliydi.",,Neutral
42,İnanılmaz memnunum iyiki almışım paketlemesi çok güzel hızlı geldi teşekkür ederim Trendyol ,,Positive
43,Ürün elime 2 günde ulaştı. Paketleme özenle yapılmıştı. Kalitesine söyleyecek tek bir söz yok. Bu sınıfta bir laptop arayanlara şiddetle tavsiye ederim.,,Positive
44,Gayet hızlı ve çok iyi paketlemeyle elime ulaştı teşekkürler,,Positive
45,Güvenilir bir satıcı. Oldukça hızlı geldi ve paketleme iyi yapılmıştı. Ürünün kalitesine diyecek bir şey yok zaten muhteşeem.,,Positive
46,sorunsuz teslim aldım paketleme çok iyiydi,,Positive
47,Macbook çok çabuk geldi ve sağlam geldi.,,Positive
48,ürün güzel sevdim şarjı uzun süreli,,Positive
49,Hızlı kargo kutulama başarılı istediğim bir modeldi çok çok memnunum,,Positive
50,Ürün çok iyi paketlenmiş bir şekilde ulaştı ben memnun kaldım tavsiye ederim,,Positive
51,"Efsana cihaz,güzel paketlenmiş teşekkürler trendyol.",,Positive
52,Ürün 3 katman şeklinde paketlenmiş bir şekilde hasar olmadan elime ulaştı.2 gün içerisinde teslim aldım.Güvenle satın alabilirsiniz.,,Neutral
53,Hızlı kargo ve güzel ürün paketleme şahaneydi.,,Positive
54,öncelikle mükemmel paketleme için Media Markt ı tebrik ediyorum. ürünün kendi kutusu hariç iki tane kutunun içine hasar almayacak şekilde koymuşlar. hızlı teslim edildi. Apple için söylenecek pek söz yok cihaz süper . alışmak birkaç gün alıyor onun haricinde sorunsuz.,,Positive
55,Ürün elime hızlıca ulaştı. Güzel paketlenmişti. Apple kalitesine zaten söyleyecek bir şey yok. Tavsiye ederim.,,Positive
56,Çok hafif ve ince. Gümüş alacakken yanlışlıkla bu rengini almışım ama bunu daha çok beğendim  paketleme de çok iyiydi almayı düşünenler hazır indirimdeyken şüphesiz alabilir,,Positive
57,Çok iyiydi çok saalun,,Positive
58,Mükemmel çok iyi paketleme.,,Positive
59,çok iyi paketlenmiş sorunsuz güzel ürün tavsiye ederim,,Positive
60,Ürün gayet sağlam elime ulaştı. Paketlemesi güzeldi,,Positive
61,Ürün hasarsız bir şekilde geldi tam numaranızı alın.,,Neutral
62,Aşırı rahat bi ayakkabı herkese tavsiye ederim kaç numara giyiyorsanız onu alın tam oluyor,,Positive
63,Ürün çok rahat ve çok güzel tereddüt etmeden alabilirsiniz tam kalıp kendi bedeninizi alın,,Positive
64,"çok beyendim,aşiri rahat,kendi numaranizdan bir beden büyük alin",,Positive
65,Çok beğendim ayagıma tam oldu 37-38 gıyınıyorum 38 aldım ilk baş sıkar gıbı oldu bir iki güne toparladı teşekkürler,,Positive
66,yorumlara bakarak aldim kendi numaranizi alın  yazıyordu yorumlarda 40 numara aldim ama küçük geldi,,Neutral
67,Ayakkabıyı aşırı sevdim kalitesi güzel tereddüt etmeden almıştım iyikide almışım tavsiye ediyorum. Numara olarak 37 aldım kendi tam ayak numaranızı alın tam kalıp sevdim :D,,Positive
68,kesinlikle bir numara büyük alin,,Neutral
69,ayakkabı çok rahat kendi numaranızı alın,,Positive
70,çok kaliteli görünüyor tam numaranızı alabilirsiniz,,Positive
71,Çok kaliteli değil ama kullanışlı bir ürün bir beden büyük Alınmalı,,Positive
72,Ürün çok güzel fakat bir numara büyük alınmalı,,Positive
73,fiyatına göre gayet iyi günlük kullanım için uygun kendi numaramı aldım tam oldu,,Positive
74,Çok beğendim tam numara,,Positive
75,"çok güzel 37,5 giyiyorum 38 aldım tam oldu ayakları minicik gösteriyor ama çok ses çıkarıyor bu özelliğini sevmedim",,Positive
76,Ürün gayet şık ve kullanışlı tam numaranızı almanızı tavsiye ederim,,Positive
77,Ürün çok güzel çok hızlı bir şekilde elime ulaştı. Tam kalıp kendi bedeninizi almalısınız.,,Positive
78,Çok beğendim. Numaramı aldım ve tam oldu.,,Positive
79,Numarası küçük geldi bir büyük alın. İade etmek zorunda kaldım,,Neutral
80,güzel rahat konforlu kendi numaranızı alın,,Positive
81,bi numara büyük alınmalı,,Neutral
82,kızıma aldim çok beğendi,,Neutral
83,ayakta çok şık ve kibar duruyor. çok hafif bir ayakkabı .dolapta bulunması gereken bir ürün. tam numaranizi alın . tavsiye ederim.,,Positive
84,kendi numaranızdan bir numara büyük sipariş edin,,Neutral
85,"Kendi ayak numaranızı almanızı tavsiye ederim. Ayakkabı güzel bu kadar güzel olucağını tahmin etmemiştim, sürekli ayağımda ve rahat.",,Positive
86,Ürün tam kalıp hatta bir numara büyük alabilirsiniz,,Neutral
87,Eşime aldı. Severek giyiyor teşekkürler,,Positive
88,Baya iyi geldi net alın aldırın tam kalıp kendi bedeninizi alın baya rahat ve şık,,Positive
89,büyük alınabilir,,Neutral
90,oldukça rahat teşekkür ederim,,Positive
91,Ürün güzel büyük geldi sadece,,Positive
92,Kesinlikle kendi bedeninizi alın,,Neutral
93,En büyük bedenini almama rağmen salaş durmuyor asla,,Neutral
94,bir beden büyük alın,,Neutral
95,Kardeşime aldım biraz ince ama güzel ürün,,Positive
96,Güzeldi fakat 1 beden büyük almışım,,Positive
97,S bedenim Xl aldım tesettürlüyüm bi büyüğü olsa o bile alınabilir,,Neutral
98,yorumlara aldanıp 1 beden küçük aldım keşke kendi bedenimi alsaymışım iade maalesef. Bir ihtimal bana küçük beden de göndermiş olabilirler çünkü içinde ya da üstünde herhangi bir etiket vs yok bedenini göremiyorum.,,Negative
99,çok güzel bi beden küçük alın,,Positive
100,"görseldekinden daha güzel ve çok kaliteli ben çok beğendim o kadar ince değil mükemmel benim boyum 1.63 kilo55 m beden aldım çok güzel oldu kendi bedeninizi alabilirsiniz ne dar ne geniş tam oldu ,tam kalıp zaten.",,Positive
101,"Bol giymek istiyorsanız bir beden büyük alabilirsiniz,güzel ürün.",,Positive
102,çok beğenmedim güzel bir ürün oğluma aldım çokta yakışan bir ceket,,Neutral
103,Beğendim ama bol giymek isteyenler için bir beden büyük alabilirsiniz,,Positive
104,kurtarıcı bi parça fiyatı da uygun beden vs tam alınabilir,,Neutral
105,M beden bile büyük oldu dar sevenler daha küçük alsın,,Neutral
106,Normalden 1 büyük alın,,Neutral
107,Çok beğendim kaliteli ama bi beden küçük almanızı tavsiye ediyorum,,Positive
108,kendi bedeninizi alın zaten oversize,,Neutral
109,arkadaslar xl büyük diyenleri aldırmayın ben normalde oversize seven biriyim ona rağmen yorumlardan etkilendim ama yine de xl aldim ve cidden kaliplari kucuk xl asiri iyi en olarak bol ama hic biri boy olarak uzun degil urun cok guzel fakat cok ince ama guzel duruyorr,,Positive
110,ceket çok güzel ama kesinlikle bir beden küçük alın,,Positive
111,ceket aşırı güzel ve sıcak tutuyor m bedenini aldım bol seviyorsanız çok iyi tavsiye ederim.,,Positive
112,Çok çok oversize 2 beden falan küçük almanız gerekiyor,,Neutral
113,beğendim gayet bir beden büyük aldık oversize durması için isteyen öyle yapsın,,Positive
114,Kumaşı ince ama tam bir kurtarıcı parça altına sweat tişört her şeyi giy çık ben beğendim f/p ürün. M aldım S de olurmuş muhtemelen ama sıkıntı değil.,,Positive
115,bi tik daha kalin olabilirdi ama oversizelik acisindan gayet iyi (kalite sorgulanir). s almam gerekirlen xl aldim bi tik bigboy olmusum ama onemli degil. alin,,Positive
116,Gayett Güzel bir ceket çok büyük almaya gerek yok benn m aldım memnunum,,Positive
117,iyi hoş sadece bi beden küçük sipariş etmişim,,Positive
118,Bir beden büyük aldım ve tam istediğim gibi bol durdu. Sadece bir kaç yerinde dikiş tutmamış ama güzel bir ürün ben çok sevdim,,Positive
119,Kardeşime aldım severek kullanıyor tavsiye ederim,,Positive
120,kendi bedeninizi alın gayet güzel bı ceket,,Positive
121,Kardeşime aldım çok beğendi,,Neutral
122,kendi bedeninizi alabilirsiniz güzel ürün tek sorunu arkadan kaba ve şişik duruyor biraz,,Positive
123,Çok güzel bir ürün fakat kendi bedeninizden bir büyük beden alın,,Positive
124,olduğunuz bedenin bir üstünü alın iyi ürün,,Positive
125,158 47 kilo s beden tam oturdu yorumları görünce çok tereddüt etmiştim ama bayağı beğendim,,Positive
126,Kardeşime aldım baya güzel tavsiye ederim,,Positive
127,Tam bedeninizi almalısınz biraz kaba duruyor,,Neutral
128,Bir beden büyüğünü almanızı tavsiye ederim fp ürün,,Positive
129,Bayıldım bir beden büyük aldım iyiki kalite ve güzel ,,Positive
130,68 kiloyum 1.75 boyum var L beden aşırı büyük geldi bir beden küçük alınmalı,,Neutral
131,kendi bedenininizi alın çok iyi,,Positive
132,Bir beden küçük alınmalı S beden aldım o bile büyük geldi ama bu fiyata yani çokta bişey beklememek gerekiyo idare eder,,Neutral
133,Güzel tam bedeni,,Positive
134,kardeşime aldım çok beğendi,,Neutral
135,"Çook kaliteli mi hayır , ama fiyatina gore gayet güzel bir ürün.Üşütmez , kalınlığı gayet iyi. Beden olarak biraz büyük kendi bedenizi alirsaniz beğenirsiniz.",,Positive
136,Bedeni 2 beden büyük alın küçük,,Neutral
137,Baya güzel s aldım oversize durdu,,Positive
138,Çok hoş bir beden büyük alın mutlaka,,Positive
139,kalite olarak fiyatına göre gayet iyi beğendim şık duruyo yanliz kalıbı çok geniş 1.60 boy 66 kiloya m beden aldım çok büyük durdu hem kalıp geniş hemde biraz fazla şiş duruyor ona göre beden tercihi yapın derim,,Positive
140,ürün gayet güzel bir beden büyük alinmali,,Positive
141,yani idare eder enn azzz 2 beden büyük alın oversize için normalde s giyiyorum m aldım yine tam oldu,,Positive
142,En küçük bedeni almama rağmen büyük oldu kalitesi de çok çok iyi değil ama kötüde değil,,Neutral
143,Kardeşime aldım çok beğendi,,Neutral
144,Kendi bedenizden 1 benden küçük alınırsa daha güzel durabilir belki ama çok güzel aşırı beğendim,,Positive
145,MUTHISSSSS m beden aldım ve istedigim gibi salas durdu bu arada istanbul ankara falan icin ince haberiniz olsun ben adanada yasadigimdan sorun olmadi,,Neutral
146,Ürün çok güzel bedeninize göre almalısınız,,Positive
147,5 beden büyük alırsanız belki güzel durur,,Positive
148,"yani bi büyüsü yok, kesinlikle bir beden büyük alın alacaksanız çünkü omuzlardan ve sırttan kasıyor ama tavsiye etmem iade",,Negative
149,159 boy 48 kilo S beden aldım çok güzel oldu kalitesi de fiyatına göre iyi ama zaten çok kalın bişey beklemeyin tam mevsimlikk,,Positive
150,Oversize sevenler 1 beden buyuk alabilir.,,Neutral
151,Ürün parasını sonuna kadar hak ediyor çok beğendim mükemmel tabi bir beden büyük almanıza fayda var.,,Positive
152,kesinlikle harika bir ürün hiçbir sıkıntısı yok rengi çok güzel plastik gibi durmuyor orjinal deri gibi olmasada yakın bir görünüm bu şekilde kolay bulunamaz çok rahat içindeki yünüde çok güzel 177 boy 77 kiloyum ama fitness sporu yapıyorum omuzlarım geniş m beden aldım tam oldu kolları felanda iyi oldu.,,Positive
153,aşırı iyi çok beğendim bedeniniz ne ise onu alabilirsiniz,,Positive
154,1.65 65 kilo oğluma M beden süper oldu tereddüt etmeden alınabilir çok şık ve güzel bir ceket..,,Positive
155,göründüğü gibi değil ama içi çok güzel yumuşacik kendi bedeninizi alin üstüme tam oldu herkes çok beğendi çok karizma duruyor,,Positive
156,Gerçekten hoş ve güzel duruyor bedenler de normal,,Positive
157,"Nişanlıma aldım, derisi çok yumuşak bir ürün ben çok beğendim o da beğendi. 1.80 68 kilo m beden aldım.",,Positive
158,çok beğendim beden de tam oldu,,Positive
159,Canım kocama aldım doğum günü için çok beğendi çok yakıştı ürün çok başarılı harika tavsiye ediyoruz ,,Positive
160,"Bedeniniz neyse onu alın, harika bir ürün cidden çok memnun kaldım. 182 boy 75 kilo, L beden aldım tam oldu.",,Positive
161,"beğendik, bir beden büyüyü oldu",,Neutral
162,"Ürün beklediğimden çok daha güzel,hafif koku yapabilir paketi açtığım gibi kokusu yüzüme vurdu ama çok güzel almaya değer bi beden büyük alın (bedeni küçük geldiği için iade edip bi büyüğünü alacağım)",,Positive
163,Eşim için aldım kalitesi güzel ama bir beden büyük alınmalı,,Positive
164,"1.76 Boy 83 kilo için L beden aldık, tam oldu. İçi tüylü, mat görünümlü bir ceket. Duruşu çok güzel.",,Positive
165,Erkek kardeşime almıştım çok beğendi teşekkür ederiz ,,Neutral
166,180 boyunda 71 kiloyum L beden aldım çok güzel oldu kesinlikle önerebileceğim bir ürün,,Positive
167,"Ümumi olaraq yaxşdır, alırsınızsa 1 ölçü böyük alın",,Neutral
168,mükemmel eşime aldım çok güzel beden tam geldi kaliteside gayet iyi kesinlikle tavsiye ederim,,Positive
169,O kadar hızlı geldi ki gerçekten çok şaşırdık çok güzel bir ceket tam bedeninizi almalısnız bence biraz kokusu var ama idare edeceğiz sade ve şık tavsiye ederim,,Positive
170,eşim normalde l beden giyer l aldım tam oldu çok şık tavsiye ediyorum,,Positive
171,Ürünün kalitesini ve kesimini beğendim. Bedeninize göre alın.,,Positive
172,1 beden büyüğünü sipariş edin,,Neutral
173,Önerdikleri beden tam oldu yumuşacık derisi var,,Neutral
174,Ürün göründüğü gibi tam bedeninizi almalısınız,,Neutral
175,güzel kendi bedeninizi alın,,Positive
176,1 beden büyük almanizi öneririm.,,Neutral
177,çok beğendim tam beden alınmalı çok iyi fiyatına göre  hızlı kargo,,Positive
178,fena değil tam beden alınabilir,,Neutral
179,üründen memnun kaldık bedeninizi alabilirsiniz,,Positive
180,1.75 boy m beden aldım gayet güzel,,Positive
181,ürün iyi geldi Bi beden büyük söylesem daha iyi olurmuş fiyati kalitesi güzel,,Positive
182,"çok güzel bir derisi var, kalıbı da tam,bedeninizi alabilirsiniz.",,Positive
183,Tam bedeninizi alın boy 170 kilo 80 L beden tam oldu ürün güzel teşekkürler,,Positive
184,Ürünü alalı 4-5 sene olmuş gram silinme dökülme yaşamadım ilk aldığım gün gibi giyiyorum  verdiğim en iyi 300tl olabilir satıcıya teşekkür ediyorum.,,Positive
185,"kardeşime aldım, memnun kaldı",,Positive
186,Valla beklemiyodum arkadaşlar ama çok güzel kendi. Bedenize göre alın ama biraz uzun yasa çok az bol diyosan L olanlar Xl alsın bence bana göre,,Positive
187,Güzel ürün erkek arkadaşıma aldım 180 90 kg xl beden oldu,,Positive
188,174cm 73 kg m beden tam oldu. Üründen memnun kaldım.,,Positive
189,bedenimizin 1 boy büyüğünü sparis verin,,Neutral
190,Valla tam oldu bedenimi aldim tam uydu,,Neutral
191,tam bedeninizi alın,,Neutral
192,Yumuşak bir derisi var. Tam bedeninizi alın. Ben çok beğendim,,Positive
193,tam geldi üzerime teşekkür ederim,,Positive
194,"Boyum 170 Kilom 70, S beden aldım tam oldu sadece kollardan 1 2 cm uzun geldi o da normal bir durum ceketlerde karşılaşabiliyorum kısa boylu biri olarak :D onun haricinde ceket çok iyi duruyor üzerimde ve kaliteli bir ceket kalın değil fazla yaz akşamlarında sıcak olan kış günlerinde ilkbaharda ve sonbahardaki ılık havalarda falan giyilebilir. Tavs",,Positive
195,super ceket kendi bedenini al 1.72 boy 73 kilo m tam oldu,,Neutral
196,"erkek kardeşime aldık, tam bedenine göre alabilirsiniz.",,Neutral
197,Ürün güzel bir beden büyük bedeninizi tercih edebilirsiniz.,,Positive
198,Fiyat performans ürünü. 1 beden büyük alın,,Positive
199,Abime aldım çok güzel biraz bol oldu. 80 kilo 1.70 L beden aldık,,Positive
200,Erkek kardeşime aldım beğendi,,Neutral
201,Ürün 2-3 gün içinde elime geçti. Boy 173 kilo 75 beden olarak M beden aldım tam geldi. Tam istedgim tarzda şık ve klasik duruyor. Kaliteside zamanla belli olur kaliteli gibi. Tavsiye ederim. Tedarikçiden memnuj kaldım,,Positive
202,gercekten parasini hak eden bir ürün. fakat bu kadar kisa surede fiyatinin inip cikmasi cok tuhaf. esim cok beğendi. kendi bedeninizden bir beden buyuk almanizi tavsiye ederim,,Positive
203,ürün çok iyi bana beden uymadı kaliteli şık kesinlikle alınır gönül rahatlığıyla xl aldım 90 kiloyum ön kapanmadı,,Positive
204,Ürün çok güzel geldi gerçekten yalnız beden olarak kullandığınız bedenden büyük almanızı öneririm ve teslimat çok hızlı gerçekleşti teşekkürler.,,Positive
205,Ürün güzel ama boynundaki bağ kısmındaki dikişler cok kötüydü maaalesef iade ve kendı bedenınızı almanız gerekıyor bir beden buyuge ıhtıyac yok,,Negative
206,Kardesime aldım cok guzel oldu kaliteli,,Positive
207,Bedeninizin 1 büyüğünü almanızı tavsiye ederim,,Positive
208,Gayet iyi fiyatına göre pişman olmazsınız kendi bedenimizi alın,,Positive
209,Çok iyi ve bedeniniz M ise L alın,,Positive
210,Eşime aldık cok beğendi,,Neutral
211,"Resimde gördüğünüz gibi, biz beğendik, şık duruyor. Ancak 1 beden buyuk Alınmalı",,Positive
212,çok güzel tam oldu tavsiye ederim,,Positive
213,Çook kaliteli bir ürün kesinlikle tavsiyedir ve üstte ağır duruyo tam bedeninizi alabilirsiniz,,Positive
214,Ürün güzel parasını hak ediyor tam bedeninizi alın küçük büyük alın diyenleri dinlemeyin,,Positive
215,Kardeşime doğum günü hediyesi aldım. Çol güzel. 187 boy 70 kilo L beden aldık,,Positive
216,"Ürün aşırı iyi, kaliteli sadece bi beden üstünüzü alın",,Positive
217,"Çok yumşak ve sık, erkek arkadışıma aldım bayıldı. 184 boyunda 75 kilo L beden aldım tam oldu",,Neutral
218,Eşime aldık çok cool bir parça nubuk şık baya beğendik,,Positive
219,abime aldım aşırı beğendiğim için babama da aldım sevetek kullanıyorlar tercih edilebilir,,Neutral
220,Guzel sevdik esime aldim,,Neutral
221,ürün çok güzel bedeninizi tam alın,,Positive
222,Ürün gayet güzel bedeni tam oldu,,Positive
223,ürün kaliteli  geldi tam bedeninizi alabilirsiniz,,Positive
224,nişanlıma hedıye aldım çok begendı tam beden oldu teşekkürler,,Positive
225,cok guzel ve şık bir mont eşime aldım. çok beğendi,,Positive
226,Kumaşı cok guzel aşırı kaliteli duruyor. Bir beden buyuk almanizi tavsiye ederim,,Positive
227,S istemiştim m beden gönderdiniz,,Neutral
228,eşime aldım çok beğendik,,Neutral
229,Ürün gayet hoş ve şık bir ürün ama bedenimi yanlış yazdıgım için küçük geldi ama ürün kalitesi çok iyi,,Positive
230,Çok güzel eşime aldım,,Positive
231,1.77 boy 67 kg M beden ne eksik ne fazla tam oldu.Buna före alabilirsiniz.Kargoda hızlılar.Trendyol express ile geldi.Ürün kaliteside fiyat ve performans olarak çok iyi.Kumaşı yumuşak ve güzel.,,Positive
232,çok güzel ama bir beden büyük almanızı tavsiye ederim,,Positive
233,Ürün güzel kaliteli boyunuz uzunsa bir beden büyüğü de olur tam bedenin de olur ama biraz büyük dursun derseniz bir beden büyük söyleyebilirsiniz fermuarı resimde beyaz gözüküyor ama gelende siyahtı onun dışında herhangi bir sorunu yok,,Positive
234,nişanlıma aldım çok beğendi,,Neutral
235,esime aldim cok beyendik alinabilir,,Neutral
236,eşime aldım çok beğendik,,Neutral
237,harika ürün ve dokusu indirimdeyken aldım çok hoş tam bedeninizi alabilirsiniz,,Positive
238,eşime aldım çok begendik,,Neutral
239,eşimi aldım. gerçekten muhteşem çok güzel ve kalitelidir 100 yıldız olsaydı verirdim,,Positive
240,Kaliteli bir urun. Tam mevsimlik. Teşekkür ederiz,,Positive
241,ürün çok güzel ve tam üzerime uygun tavsiye ederim,,Positive
242,Çok güzel geldi eşime almıştım o da çok beğendi gayet hoş şık duruyor,,Positive
243,ürün harika duruyor bir beden büyük alınabilir.,,Positive
244,Kendi bedeninizi alin cok guzel kaliteli,,Positive
245,Eşime almıştım bu ikinci siparişim babama da aldım biz çok beğendik 🙏🏻,,Neutral
246,Çok güzel pazartesi siparişm ettim çarşamba günü elime ulaştı emeği geçen herkese teşekkür ederim s beden tam oturdu,,Positive
247,Eşime aldım duruşu görünüşü harika tam mevsimlik ilginiz alakanız için çok teşekkür ederim,,Positive
248,güzel ürün tam beden,,Positive
249,Bugün aldım. Cox səliqəli maldır. Öz əyninizə alın. Böyük almayın. Keyfiyyətlidir. Təşəkkür edirəm,,Negative
250,bir beden büyüğünü alın,,Neutral
251,aşırı iyi tam oldu bana tam bedeninizi alın derim,,Positive
252,Eşime aldım. Hırka gibi kumaşı çok ince. Çok kaliteli bişey beklemeyecekseniz alın.,,Positive
253,eşime aldım eşim çok beğendi şık bir parça,,Positive
254,ürün çok güzel bı beden büyük almıştım tam oturdu,,Positive
255,"Almak isteyenler 1 beden küçük alın, gerçekten super bir ürün Azerbaycandan aldım memnunum.",,Positive
256,babama aldım severek giyiyor,,Positive
257,Tam bedenime göre geldi. İlginiz için teşekkür ederim.,,Positive
258,L beden aldım XL ile değiştirmek istiyorum ama fiyat degismis yardımcı olabilirmisiniz,,Neutral
259,ürün güzel fakat bir beden büyük almanızı tavsiye ederim,,Positive
260,1 beden büyük alınabilir,,Neutral
261,Yorumlara bakıp almıştım ama en az bir beden büyük alın bana olmadı iade edicem boyu da kısa,,Negative
262,ürün güzel eşime aldım çok kalın değil mevsimlik ama 1 beden büyük almakta fayda var çok üzerine yapıltı..,,Positive
263,"Kumaşı güzel, 178-82 kilo L beden büyük oldu.",,Positive
264,S beden sipariş verdim ama bana gelen M beden,,Neutral
265,Kaliteli ve  mevsimlik güzel 1.78boy 60 kilo M beden tam oldu,,Positive
266,küçük geldi,,Neutral
267,eşime aldim çok guzel,,Neutral
268,eşime aldım çok beğendim teşekkürler,,Positive
269,gayet güzel ve kaliteli tam bedeni,,Positive
270,ürün çok güzel kaliteli eşime aldım üstünden çıkarmıyor gece  nerdeyse ceketle uyuyacaktı indirimde aldım,,Positive
271,eşime aldim cok begendi salaş durmasini isteyenler 1 beden buyuk alabilir,,Neutral
272,eşime aldın ve çok güzel oldu teşekkürler,,Positive
273,Abime aldım çok beğendi,,Neutral
274,"Eşime aldım, çok beyendi.",,Neutral
275,Güzel bir beden büyük alınabilir,,Positive
276,Eşime aldım fiyatına göre gayet iyi teşekkürler,,Positive
277,iki tan aldık fiyat performans ürünü çok güzel ağır duruyor eşim için aldım tam beden alın,,Positive
278,"ilginiz ve paketleme için teşekkür ederim, tam beden alabilirsiniz",,Positive
279,Fiyat performans ürünü bedeninizin bir beden üstü de olabilir,,Positive
280,ürün çok iyi arkadaşima da aldım kaliteli ve güzel,,Positive
281,Kendi bedeninizi tercih edebilirsiniz kesinlikle çok güzel bir ürün,,Positive
282,Bir küçüğünü alacağım,,Neutral
283,eşime aldım çok güzel yumuşacık,,Positive
284,harika ürün eşime aldim,,Positive
